Dataset,Model,DimReduction,Dimensions,AnomalyMethod,Accuracy,Precision,Recall,F1,AUC
plantpathology,dinov2_vitb14,pca,2,GMM,0.396,0.9591836734693877,0.13544668587896252,0.23737373737373738,0.561187395227063
plantpathology,dinov2_vitb14,pca,1,IQR+CI,0.576,0.9245283018867925,0.42363112391930835,0.5810276679841897,0.6725998756851445
plantpathology,dinov2_vitb14,pca,1,IsolationForest,0.55,0.8961038961038961,0.3976945244956772,0.5508982035928144,0.6465596805484922
plantpathology,dinov2_vitb14,pca,1,OneClassSVM,0.488,0.8321167883211679,0.3285302593659942,0.47107438016528924,0.5891017309901866
plantpathology,dinov2_vitb14,pca,1,LOF,0.426,0.9166666666666666,0.19020172910662825,0.315035799522673,0.5754930214160593
plantpathology,dinov2_vitb14,pca,1,GMM,0.396,0.9591836734693877,0.13544668587896252,0.23737373737373738,0.561187395227063
plantpathology,dinov2_vitl14,tsne,2,IQR+CI,0.478,0.9396551724137931,0.3002754820936639,0.4551148225469729,0.6245902957913575
plantpathology,dinov2_vitl14,tsne,2,IsolationForest,0.556,0.9171597633136095,0.42699724517906334,0.5827067669172933,0.6624037320785828
plantpathology,dinov2_vitl14,tsne,2,OneClassSVM,0.466,0.8529411764705882,0.31955922865013775,0.4649298597194389,0.5867869135951419
plantpathology,dinov2_vitl14,tsne,2,LOF,0.422,0.9204545454545454,0.2231404958677686,0.35920177383592017,0.5860228026784098
plantpathology,dinov2_vitl14,tsne,2,GMM,0.448,0.978021978021978,0.24517906336088155,0.3920704845814978,0.615290261607448
plantpathology,dinov2_vitl14,tsne,1,IQR+CI,0.346,0.9285714285714286,0.10743801652892562,0.1925925925925926,0.5427701031549738
plantpathology,dinov2_vitl14,tsne,1,IsolationForest,0.7,0.941908713692946,0.6253443526170799,0.7516556291390728,0.761577285797591
plantpathology,dinov2_vitl14,tsne,1,OneClassSVM,0.46,0.8206896551724138,0.3278236914600551,0.468503937007874,0.5690213347811225
plantpathology,dinov2_vitl14,tsne,1,LOF,0.604,0.9230769230769231,0.49586776859504134,0.6451612903225806,0.6931893587500755
plantpathology,dinov2_vitl14,tsne,1,GMM,0.314,0.9166666666666666,0.06060606060606061,0.11369509043927649,0.5230037602300376
plantpathology,dinov2_vitl14,umap,2,IQR+CI,0.308,0.9473684210526315,0.049586776859504134,0.09424083769633508,0.5211437533932558
plantpathology,dinov2_vitl14,umap,2,IsolationForest,0.366,0.8108108108108109,0.1652892561983471,0.2745995423340961,0.5315497375882245
plantpathology,dinov2_vitl14,umap,2,OneClassSVM,0.324,0.7551020408163265,0.10192837465564739,0.1796116504854369,0.5071685668898676
plantpathology,dinov2_vitl14,umap,2,LOF,0.32,1.0,0.06336088154269973,0.11917098445595854,0.5316804407713499
plantpathology,dinov2_vitl14,umap,2,GMM,0.306,0.9,0.049586776859504134,0.09399477806788512,0.5174941183567594
plantpathology,dinov2_vitl14,umap,1,IQR+CI,0.528,0.9774436090225563,0.3581267217630854,0.5241935483870968,0.6681144557720538
plantpathology,dinov2_vitl14,umap,1,IsolationForest,0.68,0.9393939393939394,0.5977961432506887,0.7306397306397306,0.7478031811143956
plantpathology,dinov2_vitl14,umap,1,OneClassSVM,0.612,0.8626609442060086,0.5537190082644629,0.674496644295302,0.6600711829643483
plantpathology,dinov2_vitl14,umap,1,LOF,0.614,0.9521276595744681,0.4931129476584022,0.6497277676950998,0.7137097585007339
plantpathology,dinov2_vitl14,umap,1,GMM,0.414,0.972972972972973,0.19834710743801653,0.3295194508009153,0.5918742836460156
plantpathology,dinov2_vitl14,pca,2,IQR+CI,0.418,0.9186046511627907,0.21763085399449036,0.3518930957683742,0.5832679817417707
plantpathology,dinov2_vitl14,pca,2,IsolationForest,0.48,0.8931297709923665,0.32231404958677684,0.47368421052631576,0.6100621342824395
plantpathology,dinov2_vitl14,pca,2,OneClassSVM,0.432,0.8319327731092437,0.2727272727272727,0.4107883817427386,0.5633709356337093
plantpathology,dinov2_vitl14,pca,2,LOF,0.436,0.900990099009901,0.25068870523415976,0.3922413793103448,0.5888480022521163
plantpathology,dinov2_vitl14,pca,2,GMM,0.346,0.95,0.1046831955922865,0.18858560794044665,0.5450423277231505
plantpathology,dinov2_vitl14,pca,1,IQR+CI,0.418,0.9186046511627907,0.21763085399449036,0.3518930957683742,0.5832679817417707
