Dataset,Model,DimReduction,Dimensions,ClusterizationMethod,CohenK
plantvillage,mobilenet_v3_large,umap,1,Hierarchical,0.617713807206398
plantvillage,mobilenet_v3_large,umap,1,GMM,0.745111604704512
plantvillage,mobilenet_v3_large,pca,2,KMeans,0.0240814496346898
plantvillage,mobilenet_v3_large,pca,2,Hierarchical,0.0140919129245978
plantvillage,mobilenet_v3_large,pca,2,GMM,0.0240771306557677
plantvillage,mobilenet_v3_large,pca,2,DBSCAN,0.0978651670595672
plantvillage,mobilenet_v3_large,pca,1,KMeans,0.0240814496346898
plantvillage,mobilenet_v3_large,pca,1,Hierarchical,0.0140919129245978
plantvillage,mobilenet_v3_large,pca,1,GMM,0.0240771306557677
plantvillage,mobilenet_v3_large,pca,1,DBSCAN,0.0978651670595672
plantvillage,mobilenet_v3_small,tsne,2,KMeans,0.652769603804233
plantvillage,mobilenet_v3_small,tsne,2,Hierarchical,0.701777406656328
plantvillage,mobilenet_v3_small,tsne,2,GMM,0.661282531603813
plantvillage,mobilenet_v3_small,tsne,2,DBSCAN,0.665795896341538
plantvillage,mobilenet_v3_small,tsne,1,KMeans,0.729108618513491
plantvillage,mobilenet_v3_small,tsne,1,Hierarchical,0.569915595935702
plantvillage,mobilenet_v3_small,tsne,1,GMM,0.735691715568649
plantvillage,mobilenet_v3_small,tsne,1,DBSCAN,0.841079908761171
plantvillage,mobilenet_v3_small,umap,2,KMeans,0.650724165230755
plantvillage,mobilenet_v3_small,umap,2,Hierarchical,0.668150937021081
plantvillage,mobilenet_v3_small,umap,2,GMM,0.653735582015201
plantvillage,mobilenet_v3_small,umap,2,DBSCAN,0.723454726465997
plantvillage,mobilenet_v3_small,umap,1,KMeans,0.743347936636784
plantvillage,mobilenet_v3_small,umap,1,Hierarchical,0.822277785948914
plantvillage,mobilenet_v3_small,umap,1,GMM,0.713265462972816
plantvillage,mobilenet_v3_small,pca,2,KMeans,0.213314567953689
plantvillage,mobilenet_v3_small,pca,2,Hierarchical,0.230164231630585
plantvillage,mobilenet_v3_small,pca,2,GMM,0.213314567953689
plantvillage,mobilenet_v3_small,pca,2,DBSCAN,0.280542750735735
plantvillage,mobilenet_v3_small,pca,1,KMeans,0.213314567953689
plantvillage,mobilenet_v3_small,pca,1,Hierarchical,0.230164231630585
plantvillage,mobilenet_v3_small,pca,1,GMM,0.213314567953689
plantvillage,mobilenet_v3_small,pca,1,DBSCAN,0.280542750735735
plantvillage,regnet_x_16gf,tsne,2,KMeans,0.775739906780534
plantvillage,regnet_x_16gf,tsne,2,Hierarchical,0.785039994671414
plantvillage,regnet_x_16gf,tsne,2,GMM,0.790482436962542
